NAME,STATE,Households,Avg household size,High school or more attained,Bachelors or higher,Veterans,Same house 1 year and over,Foreign born persons,Language other than english spoken at home,Mean travel time to work,Median household income,Per capita income,Percentage of individuals below the poverty level,Number of housing units,Number of two-unit structures,Number of three or four unit structures,Number of 5-9 unit structures,Number of 10-19 unit structures,Number of 20+ unit structures,Number of owner-occupied units,Median value of owner-occupied units,Total Population,Female persons,Persons under 5 years,Persons under 18 years,Persons over 65,White only,Black or African american only,Alaskan native or American Indian only,Asian only,Native Hawaiian or Pacific Islander,Two or more races,Hispanic or Latino,White alone not hispanic or latino,ESTAB,EMP,NESTAB,All Firms,Black Owned Firms,American Indian and Alaskan Native Owned Firms,Asian Owned Firms,Native Hawaiian or Pacific Islander Owned Firms,Hispanic Owned Firms,Women Owned Firms,Retail Sales,Accommodation and Food Sales,Population Density
Itawamba County,Mississippi,8976,2.53,85.2,15.3,6.6,90.9,0.5,1.5,24.1,57252,33243,10.4,10462,0.4,1.2,0.4,0.6,1.6,79.8,114300,23888,50.3,5.2,21.2,17.5,89.9,6,0.4,0.2,0,2.7,0.9,0,387,5476,1384,344,0,0,0,0,0,41,164383,0,43.90055047
Jackson County,Mississippi,55373,2.57,88.7,23.6,10.1,87.4,3.5,6.9,25.6,60045,31509,15.7,62473,1.6,3.7,3.8,3.3,3.5,71.1,161700,143721,50.5,5.6,23,16.5,69.1,20.4,0.3,2.4,0,4.4,5.1,2.6,2340,45750,10410,1674.666667,0,0,145.6666667,0,0,0,1336192,211328,198.69615
Jasper County,Mississippi,6447,2.52,88.6,14.9,7.5,96.1,0.4,0.2,33.6,43914,24068,17.2,8068,0.3,1.6,0.2,0.2,0.1,84.3,110400,16320,50,5.8,22.7,20.7,44.2,54.7,0,0,0,1.2,0,0,201,3445,1310,150,0,0,0,0,0,0,74513,5986,24.22659034
Jefferson County,Mississippi,2530,2.66,75.9,19.7,3.2,96.3,1,1.6,25.2,31544,19366,31.8,3381,5.2,2.9,1.1,0.3,1.4,72.3,76400,7207,52.2,5.5,21.7,18.1,13.1,79,0.2,0.5,0,6.9,6.5,6.5,64,504,575,42,0,0,0,0,0,0,13586,0,13.44403668
Jefferson Davis County,Mississippi,4453,2.51,85.5,14.2,5.9,91.3,0.3,0.3,35.5,36473,22693,23.1,5659,0.6,1.4,1,0.3,0,81.9,87800,11291,52.3,5.3,19.9,23.2,37.7,61,0,0.1,0,1.2,0.4,0.1,127,1228,874,148,0,0,0,0,0,0,61241,4646,27.24469991
Jones County,Mississippi,24323,2.69,86.1,20.7,6,91.5,2.4,4.5,25.5,49451,26063,21.3,28620,1.5,3,3,1.4,0.6,74.6,120100,67152,51.2,6.5,24.8,17.4,66.5,29.2,0.6,0.3,0,2.2,2.2,0.5,1296,22178,5082,1267,29,0,0,0,0,183,856957,89903,98.00928484
Kemper County,Mississippi,3143,2.55,80,16.5,6.3,88.4,0.3,3.2,33.1,42947,22046,22,3958,0.4,3.4,2.2,1.4,0.2,76.8,89300,8980,48.6,5.6,18.2,20.6,33.7,61.8,3.8,0,0,0.4,0.5,0.5,110,1267,632,84,0,0,0,0,0,0,31798,3548,12.71498842
Lafayette County,Mississippi,18702,2.72,91.8,45.1,4.5,79.1,3.5,3.4,21.7,59748,32536,19.6,28147,4.3,4.9,7.5,5.5,6.7,64.4,242800,56172,51.8,4.9,18,13.1,70.7,23.4,0.1,2.3,0,2.6,2.2,0.6,1360,17779,5106,1033,0,0,0,0,0,196,743654,217227,85.51446957
Lamar County,Mississippi,24896,2.57,91.2,33.6,7.6,83.9,2,3.6,26.4,67972,37681,16.8,27319,5.2,1.7,4.3,5,5.1,67.1,209700,64425,52.1,6.1,24.4,14.4,74.3,20.9,0.2,1.2,0,2.7,1.3,1.1,1473,18632,5511,939.6666667,0,0,5.333333333,0,3.666666667,130.6666667,1213105,0,127.534201
Lauderdale County,Mississippi,28349,2.46,84.2,20.4,8.2,87.3,1.5,3,23,45649,26590,24.8,33586,3.1,6.4,5.5,1.9,4,62.7,121900,72741,51.5,6,23.5,17.9,52.6,43.5,0.1,0.7,0,2.2,1.5,0.8,1796,27518,5239,1386,0,0,0,0,0,189,1271468,190083,105.3399129
Lawrence County,Mississippi,4473,2.66,82.9,13.9,5,92.7,0.7,2.7,34.1,41096,24809,22.5,5770,1.9,0.2,1.8,0.3,0,78.7,104300,11933,51.1,6.2,25.2,18.8,64.2,31.5,0.3,0.2,0,1.9,2.2,0.4,176,1871,841,157,0,0,0,0,0,0,53619,3705,29.22884695
Leake County,Mississippi,7369,2.83,81.3,16.9,6.2,90.6,2.6,7.6,31.8,46669,25662,21,9044,1.2,1.8,2.3,0.2,0.7,76,98800,21335,50.4,6.2,22.9,17.5,48.3,39.8,5.8,0.4,0,1.9,4.4,3.9,318,4937,1335,238,0,0,0,0,0,0,179350,16115,39.09092975
Lee County,Mississippi,32001,2.57,87.3,28.3,5.7,91.5,2.5,4.1,20.8,64479,33209,13.5,37310,4.4,2.7,2.7,2.7,5.3,69.9,172900,83343,52.2,6.5,24.9,15.2,64.3,29.8,0.1,1,0.2,2.1,3,0.5,2536,47040,6872,2148,52,0,0,0,0,236,1759130,235467,189.8724918
Leflore County,Mississippi,9656,2.77,83.2,19.2,2.2,94.4,1.7,2.3,18.3,33115,23281,32.2,12666,6.5,9.8,3.9,1.5,1.2,54.9,95100,27920,53,7.9,27.8,14.6,21.6,74.6,0.1,0.3,0,1.2,2.8,0.6,664,11022,1788,661,0,0,0,0,0,93,396511,69913,47.44018191
Lincoln County,Mississippi,13070,2.62,87.3,19.2,4.7,94.6,0.8,1.2,27.6,47069,25775,22.3,15817,2,1.8,1.7,0.5,0.7,75.5,128100,34855,52.2,5.8,23.1,17,67.9,30.3,0,0.6,0,1.2,0.6,1,795,11240,2852,693,0,0,0,0,0,104,553711,56281,58.26096269
Lowndes County,Mississippi,22651,2.51,88,26.1,9.1,86.1,2.3,2.8,20.8,53687,29750,18.1,26973,4.3,2.9,6,2.2,1.3,61.9,155300,58547,52.3,6.5,23.7,16.6,50.7,44.6,0.1,1.2,0,2.4,2.1,0.4,1421,20447,4937,1271,77,0,46,0,0,151,862070,112158,115.9279
